first name,last name,username,birthday,picture,room,addresses,phone numbers,emails,relationships,pets,meals,allergies,dietary restrictions
BART,CARTER,carterb0,1964-10-01,profile_pictures\pic1.jpg,Room 3,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(367) 226-2040;(838) 727-6573","setosuf@oti.org;juh@antof.com;fapet@go.edu","BRANDEN, GREEN, Son, 1936-06-10;RASHAD, CARTER, Sister, 1997-11-24","Lucy, Dog;Rocky, Fish","Jollof, 3, ;Pizza, 8, ","", "", ""
ABEL,KING,kinga3,1937-09-09,profile_pictures\pic3.png,Room 5,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(561) 742-3921;(784) 287-1076","nashulu@it.gov;fapet@go.edu;kenna@vecbu.com","GEORGE, SMITH, Father, 1996-01-06;AARON, WALKER, Daughter, 2009-10-12;MOHAMED, CARTER, Father, 1989-11-07","Rocky, Cat;Bob, Fish;Bob, Fish","Jollof, 3, ;Wings, 1, ;Mac & Cheese, 7, ","", "", ""
HERBERT,PEREZ,perezh1,2002-02-08,profile_pictures\pic1.jpg,Room 12,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(815) 825-6662;(500) 244-7083","lad@kupez.gov;nupedu@ta.edu;nupedu@ta.edu","JEFFERSON, BAKER, Father, 1967-08-11;JEAN, MITCHELL, Daughter-in-Law, 1976-12-15;JEFFEREY, BAKER, Son-in-Law, 2003-06-13;ABEL, EVANS, Son, 1957-11-16;GAIL, JOHNSON, Father, 1943-06-06;CORTEZ, WALKER, Daughter-in-Law, 1979-06-15;JESS, THOMAS, Son, 1985-04-24;Henry, EVANS, Daughter-in-Law, 1955-07-05","Max, Dog;Bob, Dog;Buddy, Dog;Buddy, Fish;Lucy, Dog;Buddy, Fish;Buddy, Dog;Max, Dog","Mac & Cheese, 7, ;Jollof, 4, ;Pizza, 7, ;Jollof, 4, ;Wings, 6, ;Pizza, 6, ;Wings, 10, ;Jollof, 2, ","", "", ""
IRVING,TURNER,turneri1,1997-08-01,profile_pictures\pic2.jpg,Room 6,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(367) 226-2040;(943) 570-2414","johu@codovo.org;hohzavi@paw.edu;uj@orkimfah.com","FRITZ, TURNER, Sister, 2003-06-01","Buddy, Dog","Pizza, 10, ","", "", ""
OSWALDO,KING,kingo1,1937-04-08,profile_pictures\pic1.jpg,Room 16,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(500) 244-7083;(838) 727-6573","me@udaga.net;nupedu@ta.edu;opwankiw@seiteevo.io","BRANT, EVANS, Son-in-Law, 1938-01-20;JED, JACKSON, Son, 1959-04-02;IRWIN, CAMPBELL, Daughter-in-Law, 1955-04-21;OSVALDO, PHILLIPS, Daughter-in-Law, 1935-06-02;HERMAN, PHILLIPS, Daughter-in-Law, 1969-01-26;YONG, PEREZ, Son, 1972-06-02;RANDOLPH, MARTINEZ, Mother, 2000-12-02","Buddy, Dog;Bob, Fish;Max, Fish;Bob, Fish;Buddy, Dog;Max, Dog;Max, Fish","Pizza, 6, ;Pizza, 2, ;Mac & Cheese, 6, ;Pizza, 10, ;Mac & Cheese, 8, ;Mac & Cheese, 9, ;Pizza, 7, ","", "", ""
OSWALDO,WRIGHT,wrighto1,1942-11-01,profile_pictures\pic3.png,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(367) 226-2040;(784) 287-1076","juh@antof.com;motjeni@muvu.io;uj@orkimfah.com","JEFFERSON, BAKER, Son, 1953-02-13;GEOFFREY, CARTER, Son-in-Law, 1932-06-01;NORMAND, RICHARDSON, Daughter-in-Law, 1987-05-04;ABEL, TURNER, Mother, 1934-01-10;DEREK, MARTINEZ, Mother, 2001-04-09;FRITZ, ALLEN, Daughter, 1938-07-01;ABEL, BAKER, Daughter-in-Law, 1943-02-19;ZACKARY, THOMAS, Father, 2004-05-04;ZACKARY, COX, Daughter-in-Law, 1977-10-06","Max, Fish;Max, Dog;Buddy, Cat;Lucy, Cat;Buddy, Cat;Rocky, Cat;Lucy, Cat;Bob, Fish;Lucy, Cat","Mac & Cheese, 7, ;Pizza, 6, ;Pizza, 8, ;Mac & Cheese, 8, ;Jollof, 1, ;Wings, 7, ;Pizza, 7, ;Pizza, 3, ;Pizza, 2, ","", "", ""
JESS,YOUNG,youngj1,2000-06-10,profile_pictures\pic3.png,Room 19,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(874) 381-4941;(784) 287-1076","nupedu@ta.edu;juh@antof.com;pivop@wewjur.com","ABRAHAM, THOMAS, Son, 1973-09-08;RASHAD, ALLEN, Father, 1973-01-09;ZACHERY, TURNER, Mother, 1969-02-26;RAPHAEL, EVANS, Father, 2005-04-23;WYATT, WRIGHT, Daughter-in-Law, 1983-06-23;JESS, ROBERTS, Daughter-in-Law, 1971-01-12","Rocky, Fish;Lucy, Fish;Bob, Cat;Max, Cat;Lucy, Cat;Max, Cat","Wings, 7, ;Jollof, 4, ;Wings, 6, ;Wings, 9, ;Pizza, 1, ;Mac & Cheese, 5, ","", "", ""
BARTON,HALL,hallb0,1979-12-24,profile_pictures\pic2.jpg,Room 3,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(784) 287-1076;(367) 226-2040","motjeni@muvu.io;nashulu@it.gov;mewso@necuwnuk.io","DERICK, TURNER, Sister, 1984-02-23;ADALBERTO, ROBERTS, Father, 1944-08-06","Buddy, Fish;Rocky, Cat","Jollof, 6, ;Mac & Cheese, 4, ","", "", ""
YOUNG,HALL,hally0,1949-12-16,profile_pictures\pic1.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(815) 825-6662;(838) 727-6573","nupedu@ta.edu;hohzavi@paw.edu;johu@codovo.org","ZANE, MARTINEZ, Son, 1989-08-18;BRANT, GREEN, Daughter, 1949-05-20;DOYLE, THOMAS, Son-in-Law, 1975-02-14;BRANT, PEREZ, Daughter, 1950-12-08;NEIL, CAMPBELL, Father, 1933-08-20;CORY, JOHNSON, Mother, 1977-11-25;ZACHARIAH, CARTER, Mother, 1997-09-04","Bob, Fish;Rocky, Cat;Bob, Cat;Lucy, Dog;Rocky, Cat;Buddy, Dog;Max, Dog","Pizza, 1, ;Pizza, 10, ;Pizza, 8, ;Mac & Cheese, 9, ;Wings, 9, ;Wings, 2, ;Jollof, 6, ","", "", ""
DOUGLASS,YOUNG,youngd0,1955-02-10,profile_pictures\pic2.jpg,Room 19,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(784) 287-1076;(741) 951-5271","lad@kupez.gov;nashulu@it.gov;hohzavi@paw.edu","IRWIN, JACKSON, Daughter-in-Law, 1939-04-07;ZACKARY, EVANS, Son, 1983-02-17;ZANE, WALKER, Son-in-Law, 1980-07-06","Lucy, Fish;Rocky, Cat;Buddy, Fish","Pizza, 8, ;Pizza, 7, ;Wings, 9, ","", "", ""
ODELL,DIAZ,diazo0,1958-01-02,profile_pictures\pic3.png,Room 9,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(561) 742-3921;(784) 287-1076","isi@tidur.org;mewso@necuwnuk.io;mewso@necuwnuk.io","","","","", "", ""
ISAIAH,WRIGHT,wrighti0,2000-07-27,profile_pictures\pic2.jpg,Room 17,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(874) 381-4941;(500) 244-7083","mewso@necuwnuk.io;motjeni@muvu.io;me@udaga.net","BRANDEN, BAKER, Son, 1938-07-16;DOUGLASS, KING, Daughter-in-Law, 1980-05-08;DERICK, KING, Daughter-in-Law, 1985-06-01;NOEL, GREEN, Sister, 1972-06-08;BARRY, YOUNG, Son-in-Law, 1953-03-05","Max, Dog;Rocky, Cat;Bob, Cat;Bob, Fish;Rocky, Fish","Mac & Cheese, 2, ;Mac & Cheese, 6, ;Pizza, 6, ;Mac & Cheese, 1, ;Mac & Cheese, 3, ","", "", ""
JEAN,EVANS,evansj2,1966-06-21,profile_pictures\pic2.jpg,Room 16,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(815) 825-6662;(784) 287-1076","fapet@go.edu;uj@orkimfah.com;hohzavi@paw.edu","CEDRICK, GREEN, Daughter, 1966-07-24;HERMAN, WALKER, Daughter, 1961-05-13;ISAAC, RICHARDSON, Mother, 1936-10-05;ABRAHAM, YOUNG, Mother, 2006-06-02;JESS, SMITH, Sister, 1932-12-15","Lucy, Dog;Max, Fish;Max, Dog;Buddy, Fish;Lucy, Fish","Wings, 5, ;Mac & Cheese, 6, ;Wings, 7, ;Pizza, 8, ;Mac & Cheese, 6, ","", "", ""
ABRAHAM,CAMPBELL,campbella0,1931-11-26,profile_pictures\pic1.jpg,Room 19,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(943) 570-2414;(561) 742-3921","tifinpim@za.io;gunob@moahu.net;setosuf@oti.org","ABEL, SCOTT, Daughter-in-Law, 1949-07-24;ZACKARY, WRIGHT, Father, 1930-10-26;XAVIER, YOUNG, Daughter-in-Law, 1988-07-26;NORMAN, ALLEN, Daughter-in-Law, 1957-01-03;ISAIAH, DIAZ, Father, 1947-09-22","Rocky, Fish;Max, Fish;Buddy, Cat;Max, Dog;Lucy, Dog","Pizza, 3, ;Mac & Cheese, 9, ;Wings, 10, ;Wings, 8, ;Mac & Cheese, 7, ","", "", ""
JEFFERSON,PEREZ,perezj1,1966-07-18,profile_pictures\pic2.jpg,Room 8,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(561) 742-3921;(815) 825-6662","motjeni@muvu.io;fuivif@daunen.gov;juh@antof.com","ZACHERY, WALKER, Father, 1948-11-16;HERB, JACKSON, Sister, 1999-11-20;DONNIE, MARTINEZ, Son, 1979-02-06;NORMAN, RICHARDSON, Son, 1946-08-05;NOEL, WRIGHT, Father, 1984-05-26;ZACHARY, PEREZ, Son, 1971-07-02;NORMAND, ALLEN, Daughter, 1983-05-20;Henry, SMITH, Son, 1941-05-09","Bob, Dog;Bob, Fish;Rocky, Cat;Lucy, Dog;Buddy, Cat;Buddy, Dog;Max, Dog;Max, Dog","Pizza, 5, ;Wings, 6, ;Jollof, 4, ;Jollof, 2, ;Wings, 7, ;Mac & Cheese, 8, ;Pizza, 2, ;Pizza, 1, ","", "", ""
OSWALDO,CARTER,cartero2,1931-06-20,profile_pictures\pic3.png,Room 8,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(838) 727-6573;(815) 825-6662","me@udaga.net;motjeni@muvu.io;fuivif@daunen.gov","GAIL, TURNER, Daughter, 1964-05-14;ZACKARY, ROBERTS, Father, 1966-12-14;RANDOLPH, ALLEN, Son-in-Law, 1955-03-02;GEOFFREY, SMITH, Father, 1994-12-02;CHADWICK, ALLEN, Sister, 1974-05-07","Bob, Fish;Lucy, Dog;Rocky, Dog;Bob, Cat;Max, Fish;Buddy, Cat;Max, Dog;Bob, Fish","Jollof, 9, ;Jollof, 5, ;Wings, 3, ;Mac & Cheese, 9, ;Jollof, 1, ;Mac & Cheese, 4, ;Mac & Cheese, 9, ;Pizza, 8, ","", "", ""
ZACHARIAH,DIAZ,diazz0,1956-08-10,profile_pictures\pic1.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(561) 742-3921;(367) 226-2040","opwankiw@seiteevo.io;opwankiw@seiteevo.io;nashulu@it.gov","","","","", "", ""
ADAM,MARTINEZ,martineza3,1969-05-02,profile_pictures\pic2.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(815) 825-6662;(815) 825-6662","hohzavi@paw.edu;motjeni@muvu.io;gunob@moahu.net","NOEL, WARD, Daughter-in-Law, 1964-02-13;AARON, COX, Mother, 1981-01-11","Max, Fish;Bob, Fish","Wings, 6, ;Jollof, 7, ","", "", ""
HERBERT,JACKSON,jacksonh1,1947-03-05,profile_pictures\pic3.png,Room 19,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(561) 742-3921;(741) 951-5271","kenna@vecbu.com;uj@orkimfah.com;fuivif@daunen.gov","CEDRIC, JOHNSON, Father, 1962-02-24;ABE, THOMAS, Son, 1981-04-23;ORVILLE, TURNER, Daughter, 2005-11-22;CORTEZ, THOMAS, Daughter, 2003-01-12;CORTEZ, WARD, Son, 1991-02-03","Rocky, Fish;Max, Cat;Buddy, Fish;Rocky, Dog;Lucy, Dog","Jollof, 8, ;Mac & Cheese, 3, ;Mac & Cheese, 5, ;Wings, 2, ;Mac & Cheese, 2, ","", "", ""
ZACKARY,WARD,wardz1,1979-08-05,profile_pictures\pic3.png,Room 7,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(367) 226-2040;(943) 570-2414","lad@kupez.gov;kenna@vecbu.com;uj@orkimfah.com","FRITZ, JOHNSON, Sister, 1966-05-12;ISAAC, WARD, Son, 1984-04-09","Buddy, Dog;Lucy, Fish;Max, Dog;Buddy, Dog;Rocky, Cat;Max, Dog;Max, Fish","Wings, 10, ;Pizza, 9, ","", "", ""
ZACHARY,WARD,wardz1,1994-09-12,profile_pictures\pic1.jpg,Room 20,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(561) 742-3921;(500) 244-7083","me@udaga.net;me@udaga.net;me@udaga.net","BENEDICT, SMITH, Daughter, 1943-12-14;NORMAN, HALL, Son-in-Law, 1981-12-07;JEFFERSON, HALL, Father, 1939-03-25;CORTEZ, SCOTT, Sister, 1949-05-04;BASIL, SMITH, Sister, 1950-10-01;CHADWICK, HALL, Daughter-in-Law, 1930-08-01;JEAN, CARTER, Son-in-Law, 1966-12-27;ORVILLE, EVANS, Daughter, 1931-02-19","Max, Dog;Rocky, Fish;Buddy, Cat;Bob, Dog;Max, Cat;Rocky, Fish;Max, Fish;Bob, Cat","Jollof, 4, ;Jollof, 7, ;Jollof, 1, ;Wings, 2, ;Mac & Cheese, 4, ;Pizza, 7, ;Jollof, 6, ;Jollof, 9, ","", "", ""
NOEL,MITCHELL,mitchelln2,1937-03-03,profile_pictures\pic1.jpg,Room 20,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(741) 951-5271;(874) 381-4941","hohzavi@paw.edu;isi@tidur.org;nashulu@it.gov","NED, LEE, Father, 1981-09-16;ADAM, COX, Sister, 1978-03-08;JESS, SMITH, Son-in-Law, 1984-06-06;ABE, PHILLIPS, Mother, 1986-11-01;ABEL, PEREZ, Mother, 1950-04-14;ABE, LEE, Son, 1932-04-14;BEAU, WARD, Sister, 2000-10-26","Rocky, Fish;Max, Dog;Buddy, Cat;Lucy, Cat;Lucy, Cat;Rocky, Fish;Lucy, Dog","Pizza, 3, ;Pizza, 6, ;Jollof, 8, ;Mac & Cheese, 5, ;Wings, 2, ;Wings, 8, ;Jollof, 10, ","", "", ""
ABRAM,ALLEN,allena1,2003-06-27,profile_pictures\pic3.png,Room 11,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(367) 226-2040;(874) 381-4941","nupedu@ta.edu;nupedu@ta.edu;juh@antof.com","","","","", "", ""
CHADWICK,EVANS,evansc1,1930-04-27,profile_pictures\pic2.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(815) 825-6662;(500) 244-7083","isi@tidur.org;nashulu@it.gov;mewso@necuwnuk.io","CHAD, SCOTT, Mother, 1982-02-03;BRANDON, KING, Mother, 1972-08-05;CESAR, JOHNSON, Daughter-in-Law, 1964-09-18;IRWIN, ALLEN, Daughter-in-Law, 1987-02-10;HERSCHEL, WRIGHT, Daughter-in-Law, 1942-05-25;GAIL, MITCHELL, Sister, 1942-02-19","Buddy, Cat;Max, Dog;Rocky, Fish;Bob, Cat;Lucy, Fish;Lucy, Cat","Pizza, 1, ;Jollof, 4, ;Jollof, 8, ;Pizza, 1, ;Wings, 10, ;Mac & Cheese, 10, ","", "", ""
OLIVER,DIAZ,diazo0,1950-05-07,profile_pictures\pic2.jpg,Room 19,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(784) 287-1076;(741) 951-5271","setosuf@oti.org;kenna@vecbu.com;opwankiw@seiteevo.io","OLIN, DIAZ, Daughter, 1939-05-13;NED, SANCHEZ, Son, 1970-01-13;BENEDICT, SANCHEZ, Son, 1978-04-07;BRENDAN, WALKER, Father, 1946-09-23;NOEL, EVANS, Father, 1953-01-02;NORBERTO, WRIGHT, Father, 1955-09-07;BENEDICT, PHILLIPS, Mother, 1973-03-04","Bob, Dog;Rocky, Cat;Buddy, Cat;Rocky, Dog;Rocky, Dog;Buddy, Fish;Buddy, Cat","Mac & Cheese, 10, ;Jollof, 9, ;Pizza, 1, ;Jollof, 1, ;Mac & Cheese, 6, ;Wings, 6, ;Wings, 8, ","", "", ""
